Id,Name,Authors,Rating,pagesNumber,PublishYear,PublishMonth,PublishDay,Publisher,Language
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,4.57,652,2006,16,9,Scholastic Inc.,eng
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,4.5,870,2004,1,9,Scholastic Inc.,eng
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,4.47,309,2003,1,11,Scholastic Inc,eng
4,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,4.42,352,2003,1,11,Scholastic,eng
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,4.57,435,2004,1,5,Scholastic Inc.,eng
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,4.5600000000000005,734,2002,28,9,Scholastic,eng
8,"Harry Potter Boxed Set, Books 1-5 (Harry Potter, #1-5)",J.K. Rowling,4.78,2690,2004,13,9,Scholastic,eng
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.79,152,2005,26,4,Nimble Books,en-US
10,"Harry Potter Collection (Harry Potter, #1-6)",J.K. Rowling,4.73,3342,2005,12,9,Scholastic,eng
12,"The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37,815,2005,1,11,Gramercy Books,eng
13,"The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37,815,2002,30,4,Del Rey Books,eng
14,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",Douglas Adams,4.22,215,2004,3,8,Crown,eng
18,"The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy, #1-5)",Douglas Adams,4.37,815,1996,17,1,Wings Books,eng
21,A Short History of Nearly Everything,Bill Bryson,4.21,544,2004,14,9,Broadway Books,eng
22,Bill Bryson's African Diary,Bill Bryson,3.45,55,2002,3,12,Broadway Books,eng
